month	order_no	product_no	quantity	location
6	1147114126	3075508391	1	16-55-2
6	1147114126	4248884461	1	16-43-3
6	2906404795	3567196198	1	11-31-5
6	2906404795	2615054049	1	59-15-3
6	2906404795	4154483122	1	21-21-3
6	1127372439	4100436204	20	15-51-7
6	3661301549	2233663141	2	17-25-4
6	3661301549	2502218177	4	47-8-4
6	2760539024	779826983	1	21-27-3
6	2760539024	1532941613	1	13-25-3
6	2760539024	2078957877	1	20-7-2
6	2760539024	3354717620	1	48-13-4
6	2760539024	683356743	1	17-1-3
6	2760539024	1190405665	1	22-30-1
6	2760539024	4127817378	1	12-63-1
6	2760539024	1862283032	1	13-38-2
6	2760539024	403120014	1	13-48-3
6	2760539024	777298033	1	11-53-5
6	1564779471	14993453	1	22-18-3
6	3273668204	1267073384	1	13-64-5
6	3273668204	556878942	1	58-11-1
6	3273668204	3489898878	1	16-55-3
6	3022456570	4141997933	1	15-51-2
6	1512662998	331953037	6	19-17-3
6	758011712	1252220863	1	18-61-7
6	758011712	1549491515	2	18-59-5
6	758011712	2584551740	1	16-47-3
6	758011712	232782004	1	18-43-5
6	3398859335	1449352019	1	57-2-2
6	2556924192	2946562656	1	21-1-3
6	2556924192	2987316997	1	52-24-3
6	1986654220	3977904427	1	10-20-3
6	1986654220	2005124826	1	13-60-7
6	1986654220	4096126074	1	11-7-4
6	1986654220	2200100076	1	19-57-2
6	1986654220	3823457545	1	10-56-3
6	1986654220	687541855	1	10-30-5
6	1986654220	2104344332	1	10-60-3
6	4016087478	3028491228	1	10-50-2
6	4016087478	2947264806	1	10-2-4
6	4016087478	4199256178	1	10-44-3
6	4016087478	3477716341	1	23-49-2
6	24035482	1359012678	4	13-18-4
6	2668254521	4092447960	1	22-16-5
6	1896100885	1916575666	2	17-40-6
6	1896100885	866550087	6	17-38-1
6	100861059	3112105215	1	11-19-4
6	100861059	3464086633	1	10-58-4
6	100861059	2216514786	1	59-23-3
6	100861059	466415130	1	56-30-2
6	100861059	150673371	1	10-18-4
6	100861059	1699491592	1	46-7-3
6	2528909586	373523950	1	15-36-7
6	4135293175	1074306494	1	18-29-3
6	4135293175	241909282	1	1-52-7
6	1869791565	2744973017	1	17-60-5
6	1869791565	2295816096	1	20-7-1
6	2249286776	3920705526	1	14-40-3
6	2249286776	2600137644	1	15-59-6
6	2249286776	1345843670	1	14-35-5
6	1746863444	2380133106	1	15-62-3
6	2410096723	409595238	1	15-54-10
6	4171241669	4202399580	1	14-22-4
6	4171241669	581349785	1	15-42-3
6	4171241669	1002275032	1	15-44-2
6	4171241669	2019525689	1	14-38-5
6	4171241669	3371830912	1	15-7-5
6	4171241669	3822542147	1	15-27-4
6	4171241669	2514542192	1	14-35-3
6	115653806	638557686	1	19-41-5
6	115653806	1417275737	2	19-22-1
6	115653806	2141203230	1	1-48-2
6	1910737976	305224098	2	17-62-5
6	1910737976	99737809	2	17-64-4
6	1910737976	318445143	2	17-52-4
6	25786551	366606260	1	16-15-1
6	25786551	1279649345	1	19-4-4
6	138359964	871089203	1	15-15-2
6	2134377482	4243945339	8	17-54-4
6	536841711	2354973578	1	20-16-2
6	2264325205	674228126	1	21-7-2
6	2264325205	2764215773	1	15-44-5
6	2264325205	2615801749	1	15-45-1
6	4059163843	1045368841	1	20-28-3
6	412240374	2766127224	5	20-11-2
6	2174425164	1130664483	1	11-24-9
6	2174425164	1197291825	2	20-24-4
6	2174425164	3559173208	1	10-16-6
6	1713583435	976682303	2	17-12-5
6	1713583435	1898461776	1	16-16-2
6	3103288327	3464086633	4	10-58-4
6	3103288327	1358621159	1	10-18-3
6	3103288327	1400152044	1	19-53-1
6	3103288327	2859218957	1	57-25-1
6	3103288327	3018457516	1	14-23-5
6	3103288327	719540246	1	11-64-9
6	1458965803	3724487603	3	13-46-2
6	1458965803	1134280208	1	13-49-1
6	1458965803	3387239027	1	11-29-5
6	1458965803	2472601352	1	46-3-5
6	1458965803	1685436261	1	20-28-3
6	1458965803	403334882	3	12-59-6
6	3365050504	3977904427	2	10-20-3
6	3365050504	3466831701	1	22-4-2
6	3365050504	1415870021	1	12-43-8
6	3214256158	4092447960	1	22-16-5
6	3214256158	2229992526	1	22-14-5
6	3214256158	341172703	1	22-19-5
6	3240416419	3027354190	1	1-46-6
6	3240416419	1155553442	1	11-55-6
6	3240416419	3407888578	1	21-28-3
6	3240416419	3503801458	2	13-51-5
6	3240416419	2178983917	2	11-48-6
6	1340947562	2512272992	1	21-24-3
6	2794363231	4102585007	4	22-21-2
6	2794363231	28873682	1	18-8-1
6	2794363231	568144888	3	19-27-3
6	2794363231	183525435	1	18-25-6
6	2794363231	1013796440	4	16-22-1
6	3515460041	2708486420	1	11-51-4
6	3515460041	3813712179	1	12-52-3
6	3515460041	3429972516	1	23-45-4
6	3515460041	945614104	1	11-1-3
6	1216411763	2264701055	1	15-54-3
6	2939737460	4218242824	1	59-23-1
6	2939737460	1769843756	1	13-50-8
6	2939737460	3916418263	1	23-39-3
6	4257824275	1350338184	2	12-31-2
6	1690333097	3019061989	1	17-14-4
6	2376321692	3341374849	2	18-12-4
6	1672326064	3105825725	1	11-2-4
6	1672326064	1937719779	1	13-28-7
6	1672326064	2721605204	1	11-32-4
6	2216003255	2206677079	1	20-4-5
6	3838971730	3270258921	1	17-4-6
6	1963629647	761963919	1	13-49-6
6	1963629647	3112105215	2	11-19-4
6	1963629647	1384185954	1	10-48-1
6	1963629647	4271262868	2	10-46-2
6	1963629647	858315314	1	59-43-4
6	1963629647	365283327	2	21-13-2
6	2480226244	2186230460	1	17-31-2
6	2480226244	3523727228	1	21-21-2
6	2480226244	1007267408	2	16-22-1
6	2480226244	2834974477	1	16-18-3
6	2480226244	3715812721	2	17-26-6
6	182218366	1894404199	2	17-34-2
6	3573863803	3594928860	1	15-52-4
6	3820997451	1138711649	1	16-38-2
6	3820997451	886598903	1	18-38-6
6	3820997451	3671461339	1	20-24-1
6	3820997451	1152555128	1	17-33-2
6	3820997451	867543278	1	16-28-5
6	3820997451	1292162131	1	19-8-2
6	3820997451	2494712070	1	18-7-2
6	229747303	1699279201	2	11-33-3
6	229747303	3547838000	1	11-4-5
6	229747303	1936484426	1	15-1-6
6	229747303	2375483280	1	11-12-4
6	229747303	334654003	1	11-24-3
6	2878577045	4102585007	1	22-21-2
6	2878577045	3396640674	1	20-12-2
6	3700730115	362916666	1	14-9-6
6	3700730115	3101267939	1	16-10-3
6	3700730115	2362484238	1	16-27-5
6	3700730115	3852559296	1	16-25-4
6	3700730115	3258960024	1	16-63-5
6	3700730115	538925519	1	18-51-3
6	3926493024	3151137767	1	57-28-4
6	3926493024	2215461987	1	21-19-1
6	3926493024	2425701408	1	20-24-2
6	3926493024	161224090	1	20-20-2
6	3926493024	3795028970	1	10-30-1
6	3926493024	189804255	1	10-46-2
6	849004591	3500210978	1	15-33-3
6	849004591	3819075745	3	15-9-2
6	2902351244	3621955693	1	54-7-2
6	2902351244	2699401467	1	1-54-2
6	2902351244	553121792	1	54-23-1
6	3690556698	297333920	3	20-22-3
6	3690556698	4224427731	1	54-21-1
6	3690556698	365283327	4	21-13-2
6	3690556698	3545708676	2	22-36-3
6	3690556698	70734991	2	14-23-7
6	3690556698	2458604159	3	13-52-8
6	3690556698	917993426	1	14-42-3
6	3690556698	3885135030	1	14-45-2
6	3690556698	2425701408	1	20-24-2
6	3690556698	161224090	1	20-20-2
6	3690556698	1110741802	1	18-29-3
6	3690556698	4213678921	2	17-42-6
6	1123040416	2867933421	6	46-6-4
6	905382966	3345223925	1	19-51-4
6	905382966	140833656	1	1-38-4
6	905382966	2137244654	2	1-40-4
6	2772963751	2561109006	1	16-34-1
6	2772963751	3692431547	2	16-7-5
6	2772963751	4215761881	1	16-10-2
6	2772963751	2853155721	2	18-19-1
6	2772963751	3258960024	1	16-63-5
6	2772963751	1947558587	1	18-51-6
6	2772963751	2575955282	2	17-28-7
6	1552337400	2853898077	2	12-1-5
6	1552337400	4141276197	2	12-32-2
6	3051711693	3921639346	1	20-26-2
6	3051711693	1238877244	1	12-43-8
6	3051711693	278351462	1	11-50-3
6	3051711693	2851678601	1	14-48-4
6	3787139460	3931259012	1	11-10-7
6	3787139460	4141997933	1	15-51-2
6	3787139460	1345843670	1	14-35-5
6	753679735	3977904427	1	10-20-3
6	753679735	400149266	1	10-52-2
6	753679735	1610366665	1	11-47-4
6	753679735	1841978443	1	10-56-4
6	3411284080	462213634	1	19-11-3
6	4003646337	3105427863	1	12-15-2
6	2577791767	220384821	1	13-50-5
6	2577791767	214309020	1	10-14-5
6	2577791767	2784014343	1	22-3-1
6	2577791767	242212939	1	11-28-6
6	2577791767	1656944489	1	22-13-3
6	2577791767	1411220892	2	45-8-1
6	2577791767	3545708676	2	22-36-3
6	2577791767	2828087850	2	10-50-1
6	11315885	632853689	4	23-35-5
6	11315885	3508431310	1	19-26-1
6	11315885	1320719962	1	19-49-5
6	11315885	4210975816	1	10-10-3
6	3922661272	1478748587	2	19-5-1
6	3922661272	181535436	2	18-2-1
6	1892048418	1712108195	1	12-20-3
6	1892048418	556878942	2	58-11-1
6	1892048418	4262350710	1	11-23-6
6	130117300	670947697	1	10-8-3
6	130117300	2427679859	1	14-5-1
6	2541646629	3692431547	1	16-7-5
6	2541646629	880608385	1	16-39-8
6	3766043571	3742185590	1	53-14-2
6	2159987286	537492324	1	18-37-9
6	4156160704	2253756087	2	16-30-2
6	1857071994	1856260452	1	57-32-1
6	1857071994	2036658199	1	20-7-3
6	431463404	4085992542	2	46-3-2
6	431463404	3859992282	2	11-27-4
6	431463404	748126934	1	14-32-1
6	431463404	4283554640	1	14-4-3
6	4040441561	931060334	1	20-32-3
6	517627893	596371228	1	45-16-2
6	517627893	1418516362	1	18-63-2
6	2389000804	3347773740	1	16-11-5
6	2389000804	2845243643	1	18-41-3
6	2389000804	1939333164	1	16-37-2
6	2389000804	76599482	1	18-44-2
6	2389000804	367576790	1	18-47-6
6	2389000804	4236993507	1	16-18-1
6	4183978738	2277051960	1	16-13-2
6	4183978738	1481247475	1	16-17-4
6	119985817	1359912778	2	59-33-5
6	1881269775	3954473582	1	47-7-4
6	4919936	2242593425	1	16-21-2
6	3997529004	1575102614	1	17-38-1
6	167599787	2316852685	1	19-23-6
6	167599787	1794045374	1	19-3-5
6	167599787	58081000	1	16-32-5
6	167599787	2575955282	1	17-28-7
6	167599787	1894404199	1	17-34-2
6	4029908724	3072663944	1	15-7-3
6	2268378722	843597070	1	22-23-1
6	2268378722	2232632074	1	55-29-1
6	2268378722	3621955693	1	54-7-2
6	2268378722	2699401467	1	1-54-2
6	2268378722	971819329	1	55-16-2
6	2268378722	1324087767	1	54-23-2
6	2268378722	1048644952	1	21-2-2
6	2268378722	553121792	1	54-23-1
6	2268378722	1059523498	1	10-48-5
6	2268378722	1210071868	1	46-8-3
6	2268378722	3594825375	1	46-2-4
6	424682433	3129532026	1	12-62-4
6	149351741	2630250266	1	15-33-5
6	149351741	746235094	1	11-49-2
6	149351741	1534956608	1	11-30-9
6	149351741	1114023169	1	14-34-2
6	149351741	117817662	6	52-14-3
6	149351741	725964516	4	12-13-2
6	149351741	2889544198	1	18-23-2
6	149351741	3826688216	1	18-33-5
6	149351741	2099245410	1	18-29-1
6	283537386	1916575666	4	17-40-6
6	283537386	3718832235	3	17-45-5
6	283537386	1137472968	3	17-59-6
6	2043739568	4102585007	1	22-21-2
6	2043739568	3396640674	1	20-12-2
6	2043739568	301141811	1	55-26-3
6	2043739568	2308211185	1	19-24-2
6	2043739568	3507444437	2	14-38-5
6	2043739568	3885135030	2	14-45-2
6	2043739568	2425701408	1	20-24-2
6	2043739568	2788055568	1	46-5-3
6	3299023788	2970926702	1	55-1-1
6	3299023788	3741892537	1	19-32-1
6	3299023788	2381927646	1	21-12-2
6	3299023788	329105789	1	11-27-5
6	3299023788	2628995832	1	12-64-4
6	3299023788	2615054049	1	59-15-3
6	3299023788	190944112	1	59-29-3
6	3299023788	2426754776	1	11-27-3
6	3013880634	3397449943	1	22-3-3
6	3013880634	1695844110	1	54-29-1
6	3013880634	2699401467	1	1-54-2
6	3013880634	971819329	1	55-16-2
6	2428722818	3295689178	1	59-41-2
6	151417575	1958520522	1	19-14-1
6	151417575	3208911895	1	12-37-5
6	151417575	3366229164	1	11-54-4
6	151417575	3281383072	1	20-18-1
6	1571441174	501460468	1	22-1-5
6	3033132835	3255930739	1	13-21-3
6	3033132835	3464086633	2	10-58-4
6	3033132835	3684747888	1	12-17-8
6	3033132835	665551286	2	17-6-2
6	3033132835	270296109	1	13-23-4
6	3033132835	2395278822	1	14-1-1
6	3033132835	4190256496	1	12-38-6
6	3033132835	3881005061	1	21-2-3
6	3033132835	366251736	1	21-7-1
6	3033132835	3078035363	1	11-64-5
6	3033132835	1311074379	1	17-12-9
6	767606425	479613815	1	16-37-6
6	1523027471	2564140717	1	22-23-3
6	1523027471	348871898	1	21-26-3
6	3396899742	3346950312	1	17-33-1
6	3179258632	1130551861	1	13-9-4
6	3719834349	1699279201	15	11-33-3
6	2864650875	4141276197	1	12-32-2
6	2864650875	938159149	1	11-22-7
6	867584961	1687876075	1	12-54-4
6	867584961	2944707261	2	19-63-5
6	867584961	2833510537	2	10-42-2
6	1152482135	420305602	1	18-21-2
6	3671453428	2032454671	2	16-55-5
6	3671453428	3082113028	2	16-35-3
6	2916277858	341172703	1	22-19-5
6	3546522335	845047717	1	18-33-4
6	1138540366	343722094	1	17-2-3
6	1138540366	3392883881	2	13-64-7
6	1138540366	3746159111	2	17-7-2
6	1138540366	3791445547	1	21-14-2
6	1138540366	4154483122	2	21-21-3
6	1138540366	3228987171	1	15-33-1
6	1138540366	2575955282	1	17-28-7
6	1138540366	1894404199	1	17-34-2
6	1138540366	132997361	1	17-20-2
6	1138540366	3873231755	1	19-10-2
6	1138540366	2447106845	1	1-64-5
